海南航空股份有限公司电子客票出票报表
单位名称:,珠海泰申发展有限公司
第一部分:,销售明细
销售日期:,2010-11-01至2010-11-29

交易编号,起始票号,终止票号,PNR,人数,旅客类型,航段数,航段,航班号,舱位,航班日期,币种,票面金额,机场税,燃油税,其它税,票款总额,代理费,基础代理费,附加代理费,银行支付金额,E付卡支付金额,支付银行,银行订单号,E付卡支付订单号,出票时间,销售人ID,出票人ID,出票类型,原起始票号,原终止票号
'201011040957373284,880-2120520308,880-2120520308,ZB0VK,1,成人,1,HGHCAN,HU7362,Q,20101122,人民币,630.0,50.0,70.0,0.0,681.0,69.0,19.0,50.0,681.0,0.0,BILL99YS-HUB2C,'2010110401403331,-,2010-11-04 09:58,A@TAISHEN888,A@TAISHEN888,购票,-,-
'201011141250155941,880-2120835497,880-2120835497,H0QVN,1,成人,1,SZXNGB,HU7313,M,20101114,人民币,810.0,50.0,70.0,0.0,841.0,89.0,24.0,65.0,841.0,0.0,BILL99YS-HUB2C,'2010111401528145,-,2010-11-14 12:51,A@TAISHEN888,A@TAISHEN888,购票,-,-
'201011010833302623,880-2120420126,880-2120420126,L848B,1,成人,1,SZXHAK,HU7018,E,20101102,人民币,280.0,50.0,40.0,0.0,348.0,22.0,8.0,14.0,348.0,0.0,BILL99YS-HUB2C,'2010110101362999,-,2010-11-01 08:35,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011010900133083,880-2120420678,880-2120420678,WS7NY,1,成人,1,SZXCGO,HU7753,X,20101101,人民币,710.0,50.0,70.0,0.0,773.0,57.0,21.0,36.0,773.0,0.0,BILL99YS-HUB2C,'2010110101363281,-,2010-11-01 09:01,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011010911293282,880-2120420943,880-2120420945,K3HEP,3,成人,1,SZXCGO,HU7753,M,20101101,人民币,2970.0,150.0,210.0,0.0,3090.0,240.0,90.0,150.0,3090.0,0.0,BILL99YS-HUB2C,'2010110101363398,-,2010-11-01 09:12,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011010917033397,880-2120421108,880-2120421108,TJ519,1,成人,1,SZXCGO,HU7753,M,20101101,人民币,990.0,50.0,70.0,0.0,1030.0,80.0,30.0,50.0,1030.0,0.0,BILL99YS-HUB2C,'2010110101363470,-,2010-11-01 09:19,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011011202329359,880-2120428965,880-2120428965,XT1H1,1,成人,1,SZXNGB,HU7721,F,20101102,人民币,1740.0,50.0,70.0,0.0,1686.0,174.0,52.0,122.0,1686.0,0.0,BILL99YS-HUB2C,'2010110101366859,-,2010-11-01 12:04,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011011212189698,880-2120429431,880-2120429432,WW2KN,2,成人,1,SZXNKG,HU7763,E,20101102,人民币,1100.0,100.0,140.0,0.0,1250.0,90.0,34.0,56.0,1250.0,0.0,BILL99YS-HUB2C,'2010110101367028,-,2010-11-01 12:14,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011011422134602,880-2120434581,880-2120434581,VERNX,1,成人,1,SZXXIY,HU7874,E,20101119,人民币,650.0,50.0,70.0,0.0,717.0,53.0,20.0,33.0,717.0,0.0,BILL99YS-HUB2C,'2010110101369200,-,2010-11-01 14:24,B@TAISHEN888,B@TAISHEN888,购票,-,-
'201011011427294798,880-2120434901,880-2120434901,VXCPP,1,成人,1,SZXPEK,HU7704,F,20101103,人民币,4030.0,50.0,70.0,0.0,3747.0,403.0,121.0,282.0,3747.0,0.0,BILL99YS-HUB2C,'2010110101369309,-,2010-11-01 14:31,B@TAISHEN888,B@TAISHEN888,购票,-,-
