订票记录查询

订票时间：,2010-11-01至2010-11-29
订票类型：,ALL,订票状态：,全部
订票性质：,ALL,订票ID：,ALL
PNR：,-,票号：,-,银行订单号：,-
订单号,订单编号,人数,票号,订票时间,航班号,起飞地,到达地,起飞时间,票面价格,代理费,机建,燃油,支付金额,订票状态,代理商,订票人,银行订单号,支付银行,订单类型,旅客类型 
	201011271723373316,	YK5V8,	1,	324-2315685872,	2010-11-27 17:23,	SC4806, ZUH,	WNZ,	2010-12-03 19:40,730.00,43.80,10.00,70.00,766.20,	出票完成,	ZUH193,	ZUH193,	HF20101127617754,	汇付天下支付,	散客,	成人
	201011261114224164,	Z85D4,	1,	324-2315672468,	2010-11-26 11:14,	SC4806, ZUH,	TNA,	2010-11-27 19:40,1600.00,96.00,10.00,70.00,1584.00,	出票完成,	ZUH193,	ZUH193,	HF20101126615368,	汇付天下支付,	散客,	成人
	201011241448441916,	WM21E,	8,	324-2315655477，324-2315655478,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655479，324-2315655480,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655479，324-2315655480,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655469，324-2315655470,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655473，324-2315655474,	2010-11-24 14:48,	SC4682, SZX,	TAO,	2010-11-26 20:35,410.00,12.30,50.00,70.00,517.70,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655481，324-2315655482,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655469，324-2315655470,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655483，324-2315655484,	2010-11-24 14:48,	SC1187, DLC,	SZX,	2010-12-01 16:35,456.00,13.70,50.00,70.00,562.30,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
	201011241448441916,	WM21E,	8,	324-2315655471，324-2315655472,	2010-11-24 14:48,	SC1188, TNA,	DLC,	2010-11-30 14:35,204.00,6.10,50.00,40.00,287.90,	出票完成,	ZUH193,	ZUH193,	HF20101124608951,	汇付天下支付,	团队,	成人
