YCabinID,Carrier,Departure,Destination,YPrice,Miles,BeginDate
34,MU,CAN,NKG,1180,1255,2009-06-01 00:00:00.000
35,SC,TNA,URC,2380,3206,2009-06-23 00:00:00.000
36,CZ,BAV,XMN,1910,1910,2009-07-01 00:00:00.000
37,CZ,URC,NNG,2550,3459,2009-07-02 00:00:00.000
38,CZ,CAN,JZH,1940,1640,2009-07-01 00:00:00.000
39,CZ,HLD,CAN,3000,3000,2009-07-01 00:00:00.000
40,CZ,CAN,HLD,3000,3000,2009-07-01 00:00:00.000
41,ZH,CAN,HLD,3000,3000,2009-07-01 00:00:00.000
42,ZH,HLD,CAN,3000,3000,2009-07-01 00:00:00.000
43,FM,WXN,WNZ,1400,1229,2009-07-01 00:00:00.000
44,FM,WNZ,WXN,1400,1229,2009-07-01 00:00:00.000
45,MU,SZX,UYN,2360,2360,2009-07-01 00:00:00.000
46,MU,UYN,SZX,2360,2360,2009-07-01 00:00:00.000
47,ZH,LJG,NNG,1050,1050,2009-07-15 00:00:00.000
48,ZH,NNG,LJG,1050,1050,2009-07-15 00:00:00.000
49,HU,ENH,HAK,1430,1430,2009-07-01 00:00:00.000
50,CZ,JZH,CAN,1940,1640,2009-07-01 00:00:00.000
51,FM,HLD,SHA,2400,2400,2009-07-25 00:00:00.000
52,MU,HLD,PVG,2400,2400,2009-07-25 00:00:00.000
53,MU,PVG,HLD,2400,2400,2009-07-25 00:00:00.000
54,FM,SHA,HLD,2400,2400,2009-07-25 00:00:00.000
55,CZ,WUH,HLD,2600,2450,2009-08-01 00:00:00.000
56,CZ,HLD,WUH,2600,2450,2009-08-01 00:00:00.000
59,CA,HLD,HET,2280,1402,2009-08-12 00:00:00.000
60,CA,HET,HLD,2280,1402,2009-08-12 00:00:00.000
61,CA,HET,CIF,1170,639,2009-08-15 00:00:00.000
62,CZ,CTU,XIC,700,387,2009-08-18 00:00:00.000
63,MU,LUM,KMG,1000,470,2009-08-18 00:00:00.000
64,MU,KMG,LUM,1000,470,2009-08-19 00:00:00.000
65,8L,LUM,KMG,1000,470,2009-08-19 00:00:00.000
67,MU,PVG,WNZ,1010,418,2009-08-20 00:00:00.000
68,MU,WNZ,PVG,1010,418,2009-08-20 00:00:00.000
69,HO,PVG,WNZ,920,418,2009-08-20 00:00:00.000
70,HO,WNZ,PVG,920,418,2009-08-20 00:00:00.000
71,8L,TCZ,KMG,800,429,2009-09-02 00:00:00.000
72,8L,KMG,TCZ,800,429,2009-09-02 00:00:00.000
77,8L,TCZ,KMG,880,429,2009-09-12 00:00:00.000
78,8L,KMG,TCZ,1000,429,2009-09-12 00:00:00.000
79,MU,GOQ,XNN,1110,642,2009-09-03 00:00:00.000
80,MU,XNN,GOQ,1110,642,2009-09-03 00:00:00.000
81,8L,DLU,KMG,800,275,2009-09-13 00:00:00.000
82,MU,KMG,JHG,990,450,2009-09-18 00:00:00.000
83,MU,JHG,KMG,990,450,2009-09-18 00:00:00.000
84,8L,KMG,JHG,990,450,2009-09-13 00:00:00.000
85,8L,JHG,KMG,990,450,2009-09-13 00:00:00.000
90,CZ,ENH,WUH,800,479,2009-09-30 00:00:00.000
91,MU,ENH,WUH,660,479,2009-09-05 00:00:00.000
93,MU,ENH,WUH,800,479,2009-09-24 00:00:00.000
94,MU,WUH,ENH,800,479,2009-09-24 00:00:00.000
96,KN,HLD,PEK,1150,1313,2009-09-14 00:00:00.000
97,KN,PEK,HLD,1150,1313,2009-09-14 00:00:00.000
98,8L,KMG,LUM,1000,470,2009-09-13 00:00:00.000
99,ZH,ZUH,CGO,1450,1520,2009-09-14 00:00:00.000
100,ZH,CGO,ZUH,1450,1520,2009-09-14 00:00:00.000
101,CZ,DAT,CAN,1630,1887,2009-09-18 00:00:00.000
102,CZ,CAN,DAT,1630,1887,2009-09-18 00:00:00.000
103,CZ,DQA,CAN,2600,2991,2009-09-18 00:00:00.000
104,CZ,CAN,DQA,2600,2991,2009-09-18 00:00:00.000
105,CZ,NNG,BAV,2130,2130,2009-09-20 00:00:00.000
106,CZ,BAV,NNG,2130,2130,2009-09-20 00:00:00.000
107,CZ,CAN,HFE,1040,1105,2009-09-26 00:00:00.000
108,CZ,WUH,ENH,800,479,2009-09-30 00:00:00.000
110,MU,KMG,DIG,990,552,2009-10-01 00:00:00.000
111,MU,DIG,KMG,990,552,2009-10-01 00:00:00.000
112,CZ,TSN,DLC,750,759,2009-09-26 00:00:00.000
113,CZ,DLC,TSN,750,759,2009-09-26 00:00:00.000
114,HU,TYN,SHA,1200,1238,2009-10-11 00:00:00.000
115,HU,SHA,TYN,1200,1238,2009-10-11 00:00:00.000
116,CA,PEK,ZUH,1940,2098,2009-10-01 00:00:00.000
117,CA,ZUH,PEK,1940,2098,2009-10-01 00:00:00.000
118,HU,CKG,SYX,1310,1517,2009-10-24 00:00:00.000
119,HU,SYX,CKG,1310,1517,2009-10-24 00:00:00.000
120,CZ,CAN,CTU,1300,1390,2009-10-03 00:00:00.000
